NUM_PPI,MODALIDAD_PP,DESC_PP,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,ID_MUNICIPIO,MUNICIPIO,DESC_PPI,MONTO_APROBADO,MONTO_PAGADO
7502,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN ALTAMIRA ENTRE MORELOS Y LÁZARO CÁRDENAS  ,   TAMAULIPAS",2295733,2293437.27
7503,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN PROL MANUEL CAVAZOS L ENTRE BENITO JUÁREZ Y MORELOS ZONA CENTRO ,   TAMAULIPAS",2357305,2354947.7
7504,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN CALLE TAMPICO ENTRE CALLE PERIMETRAL Y CALLE REYNOSA COL. JOSE DE ESCANDON ,   TAMAULIPAS",1623372,1621748.63
7505,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN CALLE CUATRO ENTRE ONCE Y UNO FRACC. MONTE ALTO ,   TAMAULIPAS",2183314,2181130.69
7506,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN DOS ENTRE ONCE Y ONCE COL. MONTE ALTO SIPOBLADUR ,   TAMAULIPAS",2180893,2178712.11
7507,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN FERNANDO MONTES DE OCA ENTRE LERMA Y VICENTE SUAREZ COL. ALTAMIRA SEC. 2 ,   TAMAULIPAS",1478564,1477085.44
7508,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN REFORMA ENTRE FCO J MINA E INDEPENDENCIA COL. TAMPICO ALTAMIRA SEC. 2 ,   TAMAULIPAS",1402908,1401505.09
7509,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN OCAMPO ENTRE REV HUMANISTA Y A LÓPEZ MATEOS (CFE) COL. TAMPICO ALTAMIRA SEC. 2 ,   TAMAULIPAS",2717064,2714346.94
7510,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN CALLE FRANCISCO VILLA ENTRE CALLE MIGUEL HIDALGO Y CALLE 2 DE JUNIO COL. NVO LOMAS DEL REAL ,   TAMAULIPAS",1032510,1031477.49
7511,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN MARTIN ZAMARRIPA ENTRE 13 DE ENERO Y MARIANO CABALLERO COL. LA PEDRERA ,   TAMAULIPAS",2385000,2382615
7512,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN MADERO ENTRE ACAPULCO Y MIRLO FRACC. SANTA ELENA SEC. 2 ,   TAMAULIPAS",1592109,1590516.89
7513,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN CALLE HIDALGO ENTRE CALLE EMILIANO ZAPATA Y CALLE SIN NOMBRE. COL. JARDIN ,   TAMAULIPAS",2033735,2031701.27
7514,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,"PAVIMENTACIÓN CALLE CARMIN ENTRE CALLE GIRASOLES Y CALLE LIRIO COL. ALEJANDRO BRIONES SEC. 1 ,   TAMAULIPAS",1023600,1022576.4
7515,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,4,ANTIGUO MORELOS,"CONSTRUCCIÓN DE AULA EN EL CENTRO DE BACHILLERATO TECNOLÓGICO AGROPECUARIO NO 273 ,   ANTIGUO MORELOS ,   CLAVE 28DTA0273F",400000,399600
7516,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,4,ANTIGUO MORELOS,PAVIMENTACION A BASE DE CONCRETO HIDRAULICO Y OBRAS DE DRENAJE EN CALLES DE  SAN ANTONIO 300 COL.BROWNSVILLE,1500000,1498500
7517,U091,FONDO DE CULTURA,28,TAMAULIPAS,4,ANTIGUO MORELOS,POLIFORUM MULTIDISCIPLINARIO ANTIGUO MORELOS,4000000,3996000
7518,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,4,ANTIGUO MORELOS,"PAVIMENTACIÓN HIDRÁULICA COL. LUIS DONALDO COLOSIO ,   TAMAULIPAS",6000000,0
7519,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,5,BURGOS,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE BURGOS: ESCUELA JOSÉ DE ESCANDÓN 28ETV0004X; LA ESCUELA FRANCISCO I. MADERO 28DPR0256C; LA ESCUELA MARTÍNEZ DE LA REVOLUCIÓN 28DPR0210H; LA ESCUELA VENUSTIANO CARRANZA 28DPR1242G; ESCUELA CAP. EMILIO CARRANZA 28DPR1219F;  ESCUELA ALBERTO CARRERA TORRES 28DTV0168M ,484000,483516
7520,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,6,BUSTAMANTE,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE BUSTAMANTE: LA ESCUELA SOLEDAD ANAYA SOLÓRZANO 28DJN0878R; ESCUELA JUAN DE LA BARRERA 28DTV0115C; ESCUELA GABRIELA MISTRAL 28DPR0027J; ESCUELA FRANCISCO LÓPEZ  28DPR1303D,479000,478521
7521,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,7,CAMARGO,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE CAMARGO: LA ESCUELA AMADO NERVO 28DPR0045Z; LA ESCUELA GABINO BARREDA 28DPR0234R; LA ESCUELA ESPERANZA CUELLAR 28DPR0236P; ESCUELA NIÑOS HÉROE 28DPR0242Z; ESCUELA MARIANO ESCOBEDO  28DPR0243Z; ESCUELA IGNACIO M. ALTAMIRANO 28DPR0254E; LA ESCUELA EMILIO PORTES GIL 28DPR0254E; ESCUELA FRANCISCO I. MADERO 28DPR0232T; LA ESCUELA PLAN DE AYALA 28DPR1251O; ESCUELA LA CORREGIDORA 28DPR1935Q,500000,499500
7522,U076,FONDO DE APOYO EN INFRAESTRUCTURA Y PRODUCTIVIDAD,28,TAMAULIPAS,7,CAMARGO,,20000000,20000000
7523,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,7,CAMARGO,CONSTRUCCIÓN DE CENTRO MUJERES CON VALOR DE CAMARGO,40000000,39960000
7524,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,8,CASAS,"CONSTRUCCIÓN DE AULA ESCOLAR EN LA ESCUELA PRIMARIA LAURO AGUIRRE ,   CLAVE 28DPR1229M",450000,449550
7525,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,8,CASAS,"REHABILITACIÓN DE AULAS ESCOLARES DE LA ESCUELA PRIMARIA LÁZARO CÁRDENAS ,   CLAVE 28DPR1915C",150000,149850
7526,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,8,CASAS,REHABILITACIÓN DE CANCHA DE USOS MÚLTIPLES EN LA PLAZA PRINCIPAL DE LA CABECERA MUNICIPAL.,400000,399600
7527,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,9,CIUDAD MADERO,"PAVIMENTACIÓN A BASE DE CONCRETO HIDRÁULICO Y OBRAS COMPLEMENTARIAS DE LA CALLE PUERTO DE MANZANILLO ENTRE AV. MONTERREY Y PUERTO ESCONDIDO ,   FRACC. LOS CEDROS EN CD. MADERO ,   TAM",3500000,3496500
7528,U088,FONDO DE INFRAESTRUCTURA DEPORTIVA,28,TAMAULIPAS,9,CIUDAD MADERO,CONSTRUCCIÓN DE CAMPO DEPORTIVO ESTADIO 33,3500000,3496500
7529,U088,FONDO DE INFRAESTRUCTURA DEPORTIVA,28,TAMAULIPAS,9,CIUDAD MADERO,CONSTRUCCIÓN DE CAMPO DEPORTIVO ESTADIO 33 SEGUNDA PARTE ,1801542,1799740.46
7530,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,12,GONZÁLEZ,"CONSTRUCCIÓN DE AULA DE TELEBACHILLERATO CENSADET NO 13 ,   DEL POBLADO GRACIANO SÁNCHEZ. CLAVE 28EMS0013H",273936,273662.06
7531,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,12,GONZÁLEZ,"CONSTRUCCIÓN DEL DESAYUNADOR EN LA ESCUELA SECUNDARIA LIC. BENITO JUÁREZ ,   CLAVE 28DES0028B",126064,125937.94
7532,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,13,GÜÉMEZ,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE GÜEMEZ: LA ESCUELA JARDÍN DE NIÑOS MARGARITA MAZA DE JUÁREZ 28DJN05571; LA ESCUELA PRIMARIA JUAN B TIJERINA 28DPR0300Z; LA TELESECUNDARIA FRANCISCO GONZÁLEZ BOCANEGRA 28DTV0048V; ESCUELA PRIMARIA MAGDALENO AGUILAR 28DPR0316A; LA TELESECUNDARIA FRANCISCO FLORES SÁNCHEZ 28DTV0190J; LA ESCUELA TELESECUNDARIA MARTA R. GÓMEZ 28DTV0192H; JARDÍN DE NIÑOS ECHEVERRÍA ESPARZA 28DJN04110; DEL JARDÍN DE NIÑOS 21 ABRIL 28DJN0288E; JARDÍN DE NIÑOS TEODOSIA CASTAÑEDA 28DJN0410P; JARDÍN DE NIÑOS AMADO NERVO 28DJN0408A; JARDÍN DE NIÑOS ADOLFO LÓPEZ MATEOS  28DJN0229P; DEL JARDÍN DE NIÑOS ROSAURA ZAPATA 28DJN0380L; LA ESCUELA PRIMARIA IGNACIO M. ALTAMIRANO 28DPR0041C;  ESCUELA PRIMARIA ALMA CAMPESINA 28DPR0309R; LA ESCUELA PRIMARIA ÁLVARO OBREGÓN 28DPR0310G; LA ESCUELA PRIMARIA REDENCIÓN DEL PROLETARIADO 28DPR0312E; ESCUELA PRIMARIA VICENTE GUERRERO 28DPR1912F; LA ESCUELA TELESECUNDARIA PROF. JESÚS RODRÍGUEZ MIRAMONTES 28DTV0249S; LA ESCUELA TELESECUNDARIA RAMÓN TERÁN 28DTV0120O,720466,719745.53
7533,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,14,GUERRERO,"INFRAESTRUCTURA EDUCATIVA. CONSTRUCCIÓN DE BARDA FRONTAL DEL JARDIN DE NIÑOS BERTHA DEL AVELLANO DE CÁRDENAS ,   COLONIA RUÍZ CORTINEZ ",512000,511488
7534,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,14,GUERRERO,"PAVIMENTACIÓN ASFÁLTICA EN LA CALLE AVE. JUÁREZ ENTRE AVE. MÉXICO Y CALLE ALONDRA ,   COLONIA CENTRO. ",945000,944055
7535,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,14,GUERRERO,"PAVIMENTACIÓN ASFÁLTICA EN LA CALLE EDUARDO CHÁVEZ ENTRE AVE. MÉXICO Y FCO. I MADERO ,   COLONIA RUÍZ CORTINES. ",1400000,1398600
7536,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,14,GUERRERO,"PAVIMENTACIÓN ASFÁLTICA EN LA CALLE GUILLERMO RODHE ENTRE AVE. HEMANOS GUTIÉRREZ DE LARA Y CALLE JOEL ROBERTO OLIVARES VILLARREAL ,   COLONIA RUÍZ CORTINEZ ",680000,679320
7537,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,14,GUERRERO,"PAVIMENTACIÓN ASFÁLTICA EN LA CALLE ING. EDUARDO HAY ENTRE AVE. HIDALGO Y AVE. MÉXICO ,   COLONIA HIDALGO. ",1463000,1461537
7538,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,14,GUERRERO,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE GUERRERO: JARDÍN DE NIÑOS BERTHA DEL AVELLANO DE CÁRDENAS 28DJN0335Z ,400000,399600
7539,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,15,GUSTAVO DÍAZ ORDAZ,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE GUSTAVO DÍAZ ORDAZ: LA ESCUELA 16 DE SEPTIEMBRE  28DPR0238N; LA ESCUELA JUSTO SIERRA 28DPR0248U; ESCUELA GRAL. LÁZARO CÁRDENAS 28DPR0749O; LA ESCUELA LIC. BENITO JUÁREZ 28DPR1246C; ESCUELA IGNACIO ZARAGOZA 28DPR1473Y; ESCUELA GREGORIO TORRES QUINTERO 28DPR1249Z; LA ESCUELA MANUEL CAVAZOS LERMA 28DTV0162N; LA ESCUELA ROGELIO CRUZ IBARRA 28DTV0276P,500000,499500
7540,U076,FONDO DE APOYO EN INFRAESTRUCTURA Y PRODUCTIVIDAD,28,TAMAULIPAS,15,GUSTAVO DÍAZ ORDAZ,,20000000,20000000
7541,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,16,HIDALGO,REHABILITACIÓN DE ESCUELAS EN ZONAS RURALES DEL MUNICIPIO DE HIDALGO: ESCUELA FCO. GONZÁLEZ BOCANEGRA 28DPR0776L; ESCUELA EMILIANO ZAPATA 28DPR0344X; ESCUELA FRANCISCO I: MADERO 28DPR0342Z; ESCUELA ADOLFO LÓPEZ MATEOS 28DPR0353E ; ESCUELA VICENTE GUERRERO; ESCUELA BENITO JUÁREZ 28DPR0328F; ESCUELA PROFRA. GPE. GONZÁLEZ M. 28DJN0932W; ESCUELA LIC. JACOBO MARTÍNEZ GONZÁLEZ; ESCUELA MARÍA LUNA ENRÍQUEZ 28DJN0305E; ESCUELA MELCHOR OCAMPO; ESCUELA NICOLÁS BRAVO,521030,520508.97
7542,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,18,JIMÉNEZ,"ACONDICIONAMIENTO DE AULA DE MEDIOS EN LA ESCUELA PRIMARIA INSTITUTO FEDERAL DE CAPACITACIÓN DEL MAGISTERIO ,   CLAVE 28DPR2343L",100000,99900
7543,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,18,JIMÉNEZ,"ACONDICIONAMIENTO DE AULA PARA BIBLIOTECA EN LA ESCUELA PRIMARIA NUEVO SANTANDER ,   CLAVE 28DPR0399Z",100000,99900
7544,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,18,JIMÉNEZ,"CONSTRUCCIÓN DE UN TECHO EN LA ESCUELA SECUNDARIA GENERAL MARÍA JOVITA CABALLERO ,   CLAVE 28DES0018V",100000,99900
7545,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,18,JIMÉNEZ,"REHABILITACIÓN DE AULAS EN LA ESCUELA TELESECUNDARIA PROFESOR JOSÉ REYES GONZÁLEZ MONTAÑÉS ,   CLAVE 28DTV0244X",100000,99900
7546,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,18,JIMÉNEZ,"CONSTRUCCIÓN CASA DE LA CULTURA ,   EN EL MUNICIPIO DE JIMÉNEZ ,   TAMAULIPAS",3960994,3957033.01
7547,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,"CONSTRUCCIÓN DE MÓDULO SANITARIO EN LA ESCUELA PRIMARIA MI PATRIA ES PRIMERO ,   DEL EJIDO LA MORITA. CLAVE 28DPR2062C",333333,332999.67
7548,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,"CONSTRUCCIÓN DE TECHUMBRE AL FORO ESCOLAR DE LA ESCUELA PRIMARIA CONSTITUCIÓN ,   EJIDO LA LIBERTAD. CLAVE 28DPR1636S",333333,332999.67
7549,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,PAVIMENTACIÓN HIDRÁULICA DE LA CALLE SERVANDO CANALES DE LA CALLE BERTHA DEL AVELLANO A LA CALLE PARRA DE LA COL. ENRIQUE CÁRDENAS GONZÁLEZ,1865000,1863135
7550,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,"REHABILITACIÓN DEL DESAYUNADOR Y CONSTRUCCIÓN DE TECHUMBRE ,   DE LA ESCUELA CAPITÁN GUADALUPE ACUÑA ,   EJIDO SAN ISIDRO. CLAVE 28DPR0425H",333334,333000.67
7551,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,SUSTITUCIÓN DE ALUMBRADO PÚBLICO A LED EN BOULEVARD JOSEFA LLERA ,198000,197802
7552,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,SUSTITUCIÓN DE ALUMBRADO PÚBLICO A LED EN CALLE AQUILES SERDÁN DE MORELOS A MIGUEL NEGRETE,45000,44955
7553,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,SUSTITUCIÓN DE ALUMBRADO PÚBLICO A LED EN CALLE BENITO JUÁREZ DE MIGUEL ALLENDE A JUAN B. TIJERINA ,108000,107892
7554,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,SUSTITUCIÓN DE ALUMBRADO PÚBLICO A LED EN CALLE FRANCISCO QUINTANILLA DE MORELOS A MIGUEL NEGRETE,45000,44955
7555,U058,FONDO DE PAVIMENTACIÓN Y DESARROLLO MUNICIPAL,28,TAMAULIPAS,19,LLERA,SUSTITUCIÓN DE ALUMBRADO PÚBLICO A LED EN CALLE IGNACIO ZARAGOZA DE JOSEFA LLERA A ESC. SEC. GRAL. GENARO G. RUÍZ ,153000,152847
